val_loss,epoch,step,train_loss
313.62335205078125,0,45,
,1,49,314.8677978515625
245.07150268554688,1,91,
,2,99,213.8017578125
201.44219970703125,2,137,
,3,149,167.6062774658203
158.90994262695312,3,183,
,4,199,158.3209686279297
138.13699340820312,4,229,
,5,249,125.24913024902344
126.31735229492188,5,275,
,6,299,113.56421661376953
113.8444595336914,6,321,
,7,349,109.29576873779297
102.21356964111328,7,367,
,8,399,88.3461685180664
97.43495178222656,8,413,
,9,449,88.03443145751953
96.65090942382812,9,459,
